config,description,slot,inner_subject,selected_epoch_1based,eeg_params,eeg_unreachable,total_params,image_params,epoch_seconds,step_ms,peak_gpu_mib,train_seconds,early_fused,fusion_wins_vs_atm,fusion_losses_vs_atm,top1_ts,top1_atm,top1_fused,top5_fused,oracle_top1,gain_over_best_branch,gain_over_mean_branch,prediction_agreement,cka_readout,distractor_complementarity_bonus,margin_ts,margin_atm,margin_fused,fusion_rescues,fusion_losses,overlap_both,overlap_ts_only,overlap_atm_only,overlap_neither,grad_T_norm_ratio_ts_atm,independent_fused,independent_ts,independent_atm,independent_ts_epoch_1based,independent_atm_epoch_1based,grad_T_cos,grad_T_early_cos,grad_T_late_cos,grad_T_negative_epoch_fraction,grad_S_cos,grad_S_early_cos,grad_S_late_cos,grad_S_negative_epoch_fraction,grad_S_norm_ratio_ts_atm,grad_R_cos,grad_R_early_cos,grad_R_late_cos,grad_R_negative_epoch_fraction,grad_R_norm_ratio_ts_atm
C6,Shared conv + readout,2,3,36,273712,1792,1093168,819456,15.00391828417778,90.61014652252197,3927.25732421875,600.1567313671112,11.515151709318161,85,107,7.454545795917511,13.696970045566559,12.363636493682861,36.54545545578003,18.666666746139526,-1.3333335518836975,1.7878785729408264,10.121212154626846,0.5846222043037415,0.21802407503128052,-0.99479079246521,-0.6555510759353638,-0.6071468591690063,40,144,2.484848484848485,4.96969696969697,11.212121212121213,81.33333333333333,2.5220595046189174,,,,,,0.14877602547407148,0.2007038173079491,0.13643350899219514,0.25,0.1139779687905684,0.14782847166061402,0.09586252059787512,0.0,0.8360410806972833,-0.006218005731352605,-0.004291893411427736,-0.006271149468375372,0.625,1.0976895980227117
C7,Shared normalization too,2,3,36,273152,1792,1092608,819456,15.676934337615966,93.59431266784668,4190.86572265625,627.0773735046387,11.75757572054863,86,119,7.393939793109894,15.15151560306549,13.151514530181885,38.24242353439331,19.515152275562286,-2.000001072883606,1.8787868320941925,11.636363714933395,0.6051717400550842,0.19898980855941772,-0.9706915020942688,-0.5848355889320374,-0.5787737369537354,42,147,3.0303030303030303,4.363636363636364,12.121212121212121,80.48484848484848,1.4423532180216205,,,,,,0.20276725976727902,0.10089583188295363,0.2440809185057878,0.2,0.10160123910871333,0.14710121976211668,0.0859997857338749,0.0,0.9205410426348066,0.0004417179292067884,0.006517049875110388,-0.001179046051111072,0.475,1.1228215149301684
C8,"Attention after stem, independent",2,3,14,441825,0,1261281,819456,18.231241250038146,116.50645732879639,4750.35009765625,729.2496500015259,11.818181723356247,72,69,7.9393938183784485,11.636363714933395,11.818181723356247,34.969696402549744,16.66666716337204,0.18181800842285156,2.030302956700325,15.272727608680725,0.6780838966369629,0.15212491154670715,-0.8388075828552246,-0.7541852593421936,-0.644371509552002,27,107,2.909090909090909,5.03030303030303,8.727272727272728,83.33333333333334,0.7486846320477736,,,,,,0.059244530340656645,0.19296631902456285,0.011618015002459283,0.375,,,,,,,,,,
C9,Compute stem once,2,3,32,441489,0,1260945,819456,14.070934414863586,80.34682273864746,3869.1796875,562.8373765945435,12.242424488067627,86,83,7.757575809955597,14.060606062412262,14.242424070835114,36.90909147262573,18.848484754562378,0.18181800842285156,3.333333134651184,13.272728025913239,0.62745600938797,0.17648392915725708,-0.9201341867446899,-0.6982003450393677,-0.6326833367347717,36,112,2.9696969696969697,4.787878787878788,11.090909090909092,81.15151515151516,0.807172103226074,,,,,,0.30192480247467757,0.48134186625480646,0.2624369464442134,0.075,,,,,,,,,,
C0,Native independent,3,4,38,416756,58292,1236212,819456,14.450738370418549,85.1602554321289,3647.33935546875,578.029534816742,16.84848517179489,101,83,12.787878513336182,15.696969628334045,16.787879168987274,41.87878668308258,23.151515424251556,1.0909095406532288,2.5454550981521606,17.878788709640503,0.702989935874939,0.13163891434669495,-0.7547551393508911,-0.5872873663902283,-0.5393823385238647,30,135,5.333333333333334,7.454545454545454,10.363636363636363,76.84848484848484,3.176245210426612,16.3030303030303,13.636363636363635,15.696969696969699,6,38,,,,,,,,,,,,,,
C1,Compatible independent,3,4,18,373888,1792,1193344,819456,15.095560371875763,90.6440019607544,3928.85986328125,603.8224148750305,16.303031146526337,107,76,10.66666692495346,14.424242079257965,16.303031146526337,39.93939459323883,20.96969783306122,1.8787890672683716,3.757576644420624,14.727272093296051,0.6697255373001099,0.14513951539993286,-0.7257061004638672,-0.570414662361145,-0.5029208660125732,45,122,4.121212121212121,6.545454545454546,10.303030303030303,79.03030303030303,1.7888206541428837,16.424242424242426,10.666666666666668,16.0,18,36,-0.020663959849625827,-0.0069750267267227216,-0.0033646620810031903,0.525,0.017170993365580218,0.04424705747514963,0.010716655184514822,0.1,0.7421040282960158,0.0024947813898324967,0.008648809511214495,0.003490261599654332,0.375,1.3079457675633268
C2,Shared temporal,3,4,17,373576,1792,1193032,819456,15.112450051307679,90.80672264099121,3928.85205078125,604.4980020523071,15.999999642372131,93,72,11.090908944606781,14.727272093296051,15.999999642372131,38.969698548316956,21.030303835868835,1.2727275490760803,3.0909091234207153,14.848485589027405,0.671662449836731,0.15017136931419373,-0.7260732054710388,-0.5776759386062622,-0.5017032027244568,41,124,4.787878787878788,6.303030303030304,9.93939393939394,78.96969696969697,1.89720595256884,,,,,,0.046088080201297996,0.05129076093435288,0.0668335155583918,0.375,0.02412624850985594,0.05551773047074676,0.015685940503608435,0.075,0.819825305617163,0.005450036108377389,0.010816431613638997,0.006050232711713761,0.325,1.2915696835352954
C3,Shared spatial,3,4,18,364648,1792,1184104,819456,15.065974336862563,90.72709083557129,3928.71337890625,602.6389734745026,15.333333611488342,98,77,10.000000149011612,14.060606062412262,15.333333611488342,38.969698548316956,19.515152275562286,1.2727275490760803,3.3030305057764053,16.969697177410126,0.6935891509056091,0.13699054718017578,-0.7351459264755249,-0.5762333869934082,-0.5186991095542908,45,114,4.545454545454546,5.454545454545454,9.515151515151516,80.48484848484848,1.913177038137072,,,,,,0.055121972952038044,0.15651747658848764,0.04145664233714342,0.425,0.1067045783624053,0.16218845885246994,0.08040491612628103,0.0,0.7796933324756676,-0.003197300973697566,0.0021870395075529814,-0.0018512164766434584,0.575,1.2466825187462924
C4,Shared readout,3,4,18,283264,1792,1102720,819456,15.063139152526855,90.59476852416992,3927.47705078125,602.5255661010742,15.212121605873108,89,79,10.848484933376312,14.606060087680817,15.212121605873108,40.545454621315,20.848484337329865,0.6060615181922913,2.4848490953445435,15.939393639564514,0.661228597164154,0.15186405181884766,-0.7442799210548401,-0.5846512913703918,-0.5126015543937683,35,128,4.6060606060606055,6.242424242424242,10.0,79.15151515151516,1.7644238692853527,,,,,,-0.01800779588520527,0.005165752321481709,-0.005072573386132714,0.45,0.01724191839341074,0.046999896652996545,0.010850626011379063,0.075,0.7463033811150102,0.0011292543649324216,0.006496397824957967,0.001404557336936705,0.425,1.1580523224373696
C5,Shared temporal + spatial,3,4,29,364336,1792,1183792,819456,15.105111718177795,90.63935279846191,3928.70556640625,604.2044687271118,14.484848082065582,99,83,9.939394146203995,14.181818068027496,15.15151560306549,40.12121260166168,19.696970283985138,0.9696975350379944,3.090909495949745,15.333333611488342,0.6438367366790771,0.1613147258758545,-0.7791503667831421,-0.5832868814468384,-0.5199038982391357,54,129,4.424242424242424,5.515151515151516,9.757575757575758,80.3030303030303,2.5121181002181032,,,,,,0.12613840538077054,0.22058630451560018,0.09203639874234795,0.225,0.10756512687075884,0.15082258354872466,0.08907289681956172,0.0,0.9898985797977394,0.005175930576515384,0.006379048200324177,0.006857166102854535,0.35,1.2290101839883247
C6,Shared conv + readout,3,4,31,273712,1792,1093168,819456,15.09929255247116,90.69681167602539,3927.32275390625,603.9717020988464,14.848485589027405,90,96,10.121212154626846,15.575757622718811,15.212121605873108,40.1818186044693,20.848484337329865,-0.3636360168457031,2.3636367172002792,13.818182051181793,0.6475406885147095,0.16408514976501465,-0.8088236451148987,-0.5775213837623596,-0.5290873646736145,39,132,4.848484848484849,5.2727272727272725,10.727272727272727,79.15151515151516,2.6784879654441864,,,,,,0.15175409645773472,0.2265670138597488,0.13186966815963388,0.175,0.1096500683785416,0.1551286981627345,0.09080175107344986,0.0,0.948173386325837,-0.003920585768937599,0.0018578981608152391,-0.006337162504787557,0.65,1.0857288828393536
C7,Shared normalization too,3,4,32,273152,1792,1092608,819456,15.760597503185272,93.74117851257324,4190.005859375,630.4239001274109,15.39393961429596,119,88,9.575757384300232,14.181818068027496,16.06060564517975,40.12121260166168,19.87878829240799,1.8787875771522522,4.181817919015884,12.484848499298096,0.6542929410934448,0.16859617829322815,-0.8119565844535828,-0.5783970355987549,-0.5265806317329407,56,119,3.878787878787879,5.696969696969697,10.303030303030303,80.12121212121212,1.5367063457600867,,,,,,0.16438158730044958,0.10217477917671203,0.2105254090949893,0.225,0.0996622378018219,0.13808502009138465,0.08646127415820958,0.05,0.8490096333545839,0.0016778251301730052,0.007166138291358948,0.000563381406245753,0.475,1.0989274656907528
C8,"Attention after stem, independent",3,4,18,441825,0,1261281,819456,18.26703929901123,116.5233850479126,4749.458984375,730.6815719604492,16.2424236536026,86,70,12.060606479644775,15.272727608680725,16.2424236536026,41.21212065219879,21.696969866752625,0.969696044921875,2.57575660943985,17.27272719144821,0.7310466170310974,0.13582852482795715,-0.709038257598877,-0.618420422077179,-0.5279008150100708,27,117,5.636363636363637,6.424242424242424,9.636363636363637,78.30303030303031,0.8224793725359341,,,,,,0.02481227577663958,0.12871926069259645,0.02545667108148337,0.45,,,,,,,,,,
C9,Compute stem once,3,4,17,441489,0,1260945,819456,14.062278980016709,80.24096488952637,3868.95263671875,562.4911592006683,16.969697177410126,87,80,10.969696938991547,16.545455157756805,16.969697177410126,41.69696867465973,21.75757586956024,0.4242420196533203,3.2121211290359497,18.060606718063354,0.7214603424072266,0.13857609033584595,-0.7155488133430481,-0.6226004958152771,-0.5304985642433167,39,118,5.757575757575758,5.212121212121213,10.787878787878787,78.24242424242425,0.775171000915514,,,,,,0.296540471771732,0.5048144549131394,0.25755750594660637,0.025,,,,,,,,,,
