family,coefficient,subjects,member_a_top1,member_b_top1,pair_top1,gain_over_best,gain_over_mean,score_correlation,oracle_top1,oracle_headroom_realized
direct_decorrelation,0.0,10,34.349999237060544,34.94999942779541,40.14999980926514,2.9000003814697264,5.500000476837158,0.8500499367713928,48.749999618530275,0.14771232611761126
direct_decorrelation,0.1,10,32.94999942779541,35.349999618530276,40.4,3.9000003814697264,6.250000476837158,0.8283059000968933,48.69999961853027,0.21220765162248104
direct_decorrelation,0.25,10,34.19999942779541,35.799998092651364,40.89999885559082,3.4000003814697264,5.900000095367432,0.5652948558330536,49.34999885559082,0.26855090372278373
rescue,0.0,10,34.349999237060544,34.94999942779541,40.14999980926514,2.9000003814697264,5.500000476837158,0.8500499367713928,48.749999618530275,0.14771232611761126
rescue,0.1,10,34.249999618530275,34.39999942779541,40.74999923706055,4.1,6.424999713897705,0.8507598102092743,48.14999923706055,0.2880765237798018
rescue,0.3,10,33.29999885559082,34.749999046325684,41.899998092651366,5.199999237060547,7.874999141693115,0.8459596395492553,47.79999885559082,0.392743868693018
rescue,0.5,10,34.09999942779541,34.64999885559082,41.64999923706055,4.349999809265137,7.275000095367432,0.8476557672023773,48.349999237060544,0.37860639277093006
