first,second,first_top1,second_top1,weaker_top1,best_solo_top1,mean_solo_top1,pair_top1,gain_over_best,gain_over_mean,relative_error_reduction_over_best,score_correlation,margin_correlation,correctness_correlation,prediction_disagreement,double_fault,wrong_winner_agreement,oracle_top1,oracle_headroom_over_best,oracle_headroom_realized
atm23,atm25,32.75,33.45,32.75,33.45,33.1,34.8,1.3499999999999943,1.6999999999999957,0.020285499624342514,0.9514901835307716,0.8126791589208391,0.620761546296125,0.465,0.585,0.49230769230769234,41.5,8.049999999999997,0.1677018633540366
atm23,atm_iv,32.75,35.199999999999996,32.75,35.199999999999996,33.974999999999994,36.25,1.0500000000000043,2.2750000000000057,0.016203703703703765,0.9339765288886099,0.7849499131169831,0.5966034174447713,0.492,0.5695,0.4547848990342406,43.05,7.850000000000001,0.13375796178344002
atm23,atm31,32.75,36.5,32.75,36.5,34.625,38.0,1.5,3.375,0.023622047244094488,0.9119945377216585,0.7349927794738023,0.5375973563088531,0.549,0.5485,0.3828623518687329,45.15,8.649999999999999,0.17341040462427748
atm23,atm33,32.75,34.2,32.75,34.2,33.475,37.15,2.9499999999999957,3.674999999999997,0.0448328267477203,0.8957683752628651,0.7022676325795861,0.5097989455513225,0.5865,0.556,0.3381294964028777,44.4,10.199999999999996,0.2892156862745095
atm23,atm35,32.75,32.6,32.6,32.75,32.675,37.25,4.5,4.575000000000003,0.06691449814126393,0.889565181850745,0.6788723812748918,0.4647389329668587,0.6105,0.5555,0.32493249324932494,44.45,11.700000000000003,0.3846153846153845
atm23,iv23,32.75,33.95,32.75,33.95,33.35,37.35,3.3999999999999986,4.0,0.05147615442846327,0.8497041028914298,0.6026865797092893,0.38389365590832397,0.655,0.5295,0.2804532577903683,47.05,13.099999999999994,0.2595419847328244
atm23,iv25,32.75,33.650000000000006,32.75,33.650000000000006,33.2,37.95,4.299999999999997,4.75,0.0648078372268274,0.8312015053846696,0.5522774092887951,0.3643564063140672,0.679,0.527,0.24667931688804554,47.3,13.649999999999991,0.315018315018315
atm23,iv28,32.75,36.1,32.75,36.1,34.425,41.099999999999994,4.999999999999993,6.674999999999997,0.07824726134585279,0.8196887100998552,0.5261826361911336,0.32507620647340485,0.6985,0.503,0.21868787276341947,49.7,13.600000000000001,0.3676470588235288
atm23,iv31,32.75,35.65,32.75,35.65,34.2,40.849999999999994,5.199999999999996,6.6499999999999915,0.08080808080808075,0.8050573719379178,0.49371266049788165,0.3169612502441638,0.7105,0.504,0.2013888888888889,49.6,13.950000000000003,0.372759856630824
atm23,iv33,32.75,35.85,32.75,35.85,34.3,42.95,7.100000000000001,8.650000000000006,0.11067809820732659,0.7908130816190667,0.47112882587964905,0.3069929083002789,0.723,0.5005,0.18081918081918083,49.95,14.100000000000001,0.5035460992907802
atm23,iv35,32.75,33.95,32.75,33.95,33.35,42.35,8.399999999999999,9.0,0.12717638152914457,0.7756599976663593,0.42162521316374796,0.2826484608730889,0.734,0.507,0.1814595660749507,49.3,15.349999999999994,0.5472312703583063
atm23,sqf28,32.75,36.65,32.75,36.65,34.7,41.449999999999996,4.799999999999997,6.749999999999993,0.0757695343330702,0.8082427591446785,0.5141127149936447,0.32269310818424757,0.696,0.499,0.22244488977955912,50.1,13.450000000000003,0.35687732342007406
atm23,inductive_v2_multiscale_ts_mixer,32.75,33.6,32.75,33.6,33.175,39.6,6.0,6.425000000000004,0.09036144578313252,0.827133489772589,0.5412879961121497,0.35620635617445434,0.687,0.5255,0.23596574690770694,47.449999999999996,13.849999999999994,0.43321299638989186
atm23,temporal_conformer,32.75,29.099999999999998,29.099999999999998,32.75,30.924999999999997,35.099999999999994,2.3499999999999943,4.174999999999997,0.03494423791821553,0.8679036052094073,0.6197618246721379,0.446585003146491,0.6425,0.572,0.291958041958042,42.8,10.049999999999997,0.23383084577114377
atm23,convnext1d,32.75,26.0,26.0,32.75,29.375,34.25,1.5,4.875,0.022304832713754646,0.8699912451305655,0.617699789077746,0.4243347305687743,0.6685,0.585,0.2717948717948718,41.5,8.75,0.17142857142857143
atm23,ortho_mixer_group,32.75,32.75,32.75,32.75,32.75,37.75,5.0,5.0,0.07434944237918216,0.845519503764891,0.5931749978788382,0.4029342489854996,0.658,0.541,0.2698706099815157,45.9,13.149999999999999,0.3802281368821293
atm23,ortho_perceiver_group,32.75,29.599999999999998,29.599999999999998,32.75,31.174999999999997,36.9,4.149999999999999,5.725000000000001,0.06171003717472117,0.8448171113623609,0.5936324385284495,0.4040482835452209,0.674,0.56,0.2544642857142857,44.0,11.25,0.36888888888888877
atm23,ortho_convgru_group,32.75,26.85,26.85,32.75,29.8,34.8,2.049999999999997,4.9999999999999964,0.03048327137546464,0.8472343161876382,0.5752670104457681,0.40179063236233253,0.6805,0.5755,0.2571676802780191,42.449999999999996,9.699999999999996,0.21134020618556681
