beta,epoch,mean_train_ensemble_loss,mean_val_pair_loss,mean_peak_so_far_test_top1
0.0,1,5.591506068661529,4.590139288492877,15.624999761581421
0.0,2,5.128199521100746,4.471930103269892,25.374999523162842
0.0,3,5.0167031220670015,4.4299083095206955,27.374999523162842
0.0,4,4.9638231907250745,4.399342519064945,30.0
0.0,5,4.929546431775362,4.382147571655235,31.749999523162842
0.0,6,4.90427364133439,4.373437227223457,33.499999046325684
0.0,7,4.881423713576119,4.347503898721753,35.24999952316284
0.0,8,4.8610166342753285,4.3354432097187745,35.24999952316284
0.0,9,4.837854596353926,4.322122578869765,35.62499952316284
0.0,10,4.819911971182194,4.31706681396022,37.875
0.0,11,4.802387877680221,4.308548384844655,38.375
0.0,12,4.781504733607454,4.295056664983832,38.375
0.0,13,4.766640730623929,4.290229608916273,38.375
0.0,14,4.756684510213025,4.2809581754584904,38.375
0.0,15,4.741239655692622,4.271890970392259,39.375
0.0,16,4.7309624271572766,4.269038218039054,39.5
0.0,17,4.7161586770471535,4.266499393516117,39.625
0.0,18,4.706697656523507,4.2625146468079045,40.125
0.0,19,4.692797996862879,4.258920194926086,40.125
0.0,20,4.684858965423872,4.251878846976091,40.125
0.0,21,4.676897424122073,4.247144486366298,41.25
0.0,22,4.668320627932278,4.247310520823957,41.625
0.0,23,4.65819838496874,4.239933494365577,41.625
0.0,24,4.651133923260671,4.242912718342611,41.625
0.0,25,4.642458849583032,4.234353370538063,41.625
0.0,26,4.635357476180454,4.235141042908435,41.625
0.0,27,4.628110704781874,4.2332985979138,41.625
0.0,28,4.621548644551691,4.228105831226516,41.75
0.0,29,4.615937734549901,4.225873103446832,41.75
0.0,30,4.610640287399292,4.218833251834317,41.875
0.0,31,4.605258536788652,4.216783046321034,41.875
0.0,32,4.595975928036672,4.218057708106057,42.125
0.0,33,4.590378149950279,4.216697003504242,42.375
0.0,34,4.588808432165182,4.213979409399257,42.375
0.0,35,4.580834914153478,4.2134398139687095,42.375
0.0,36,4.576243699271724,4.212980194525286,42.375
0.0,37,4.572445621580448,4.209090490533848,42.375
0.0,38,4.571195507499406,4.205362184079809,42.375
0.0,39,4.562754074132667,4.2106419785656914,42.5
0.0,40,4.55892638440402,4.2044102599725175,42.999999046325684
0.0,41,4.555114837412564,4.203436430455859,43.374999046325684
0.0,42,4.551776191423524,4.203767630989704,43.74999809265137
0.0,43,4.549657200417428,4.200408699536565,43.999999046325684
0.0,44,4.544431686851214,4.1997249656253395,43.999999046325684
0.0,45,4.540333459512243,4.19930907511952,44.24999809265137
0.0,46,4.536993625029078,4.196778293209847,44.24999809265137
0.0,47,4.532120117601359,4.199238865664511,44.24999809265137
0.0,48,4.53004420478389,4.19819749625845,44.24999809265137
0.0,49,4.525707272763523,4.195739084622676,44.24999809265137
0.0,50,4.526178012254103,4.194222906623224,44.24999809265137
0.1,1,5.558086800575256,4.58048016655726,16.125
0.1,2,5.109793885698858,4.4636704893625945,25.624999046325684
0.1,3,4.994082305116474,4.4180729076115774,28.374999523162842
0.1,4,4.931765637757643,4.381559527281558,29.625
0.1,5,4.8826554109465405,4.359010118828077,31.624999523162842
0.1,6,4.847277956188849,4.347765916325027,32.75
0.1,7,4.823305692762699,4.3255218767156505,35.124998569488525
0.1,8,4.803442757984378,4.313673210465145,35.62499809265137
0.1,9,4.779586441561861,4.2987747844622195,36.624999046325684
0.1,10,4.759408408290934,4.291860642256561,38.499999046325684
0.1,11,4.739429030778273,4.284418082397796,38.99999809265137
0.1,12,4.716953188968155,4.269602191769314,39.37499809265137
0.1,13,4.698304747185618,4.2629198062700855,39.37499809265137
0.1,14,4.686001496045094,4.25615817910493,39.37499809265137
0.1,15,4.668412771764792,4.244192632761869,40.124999046325684
0.1,16,4.656586055935554,4.241604116428581,40.499999046325684
0.1,17,4.639058378957352,4.237506287266511,40.499999046325684
0.1,18,4.6282005476501755,4.23304258974313,40.749999046325684
0.1,19,4.612647403411145,4.230536408496626,40.749999046325684
0.1,20,4.602602391872765,4.2217952556883045,41.124999046325684
0.1,21,4.593337693304386,4.216147467544183,41.124999046325684
0.1,22,4.582693445457602,4.216576509604149,41.249999046325684
0.1,23,4.571092357725467,4.210077229372981,41.249999046325684
0.1,24,4.561719919150731,4.210772320477649,41.375
0.1,25,4.55279499314866,4.202919855061605,41.375
0.1,26,4.543665738375681,4.20358946026375,41.375
0.1,27,4.534793872653314,4.198876994025426,41.375
0.1,28,4.527031100471065,4.193733174792845,42.125
0.1,29,4.520558344643071,4.194076789950683,42.125
0.1,30,4.512610184471562,4.186872084935506,42.125
0.1,31,4.5061630523429725,4.183643084985238,42.125
0.1,32,4.4948142380084635,4.183981048338341,42.125
0.1,33,4.488077246018176,4.185095108117319,42.125
0.1,34,4.484994361535558,4.180073825799255,42.125
0.1,35,4.475212678819333,4.179803734475916,42.125
0.1,36,4.470084921369013,4.1794643765346775,42.125
0.1,37,4.465354166840607,4.173463937810776,42.25
0.1,38,4.461754465552995,4.170206536347617,42.25
0.1,39,4.451405787467957,4.174334414077528,42.25
0.1,40,4.4460692383208364,4.167462079211919,42.25
0.1,41,4.441910333903332,4.16666817464411,42.25
0.1,42,4.437172035001359,4.166861369754329,42.25
0.1,43,4.433924686683799,4.164135872514962,42.25
0.1,44,4.427748041782738,4.16168688102202,42.25
0.1,45,4.421790931809623,4.16326573501131,42.25
0.1,46,4.417848086357117,4.160253123201505,42.25
0.1,47,4.410696430026361,4.161663834695463,42.25
0.1,48,4.4075993290487325,4.15994049844517,42.25
0.1,49,4.402150218441801,4.156433418342963,42.25
0.1,50,4.401701256014267,4.154635968433085,42.5
0.3,1,5.520824059000555,4.567083962035902,16.24999976158142
0.3,2,5.082449942264916,4.450954465553014,25.374999523162842
0.3,3,4.959491286637648,4.4014401020425735,27.375
0.3,4,4.889033293274214,4.362516445342941,30.249998092651367
0.3,5,4.831507434035247,4.3370918485050645,31.999998092651367
0.3,6,4.786034003743585,4.320846513264909,33.74999952316284
0.3,7,4.750070616884051,4.296989149918861,34.25
0.3,8,4.722285082655134,4.285371504247389,35.0
0.3,9,4.694197406858768,4.269873677480101,35.875
0.3,10,4.670660664000601,4.259364506813011,38.625
0.3,11,4.648694041090192,4.254407322366632,39.375
0.3,12,4.625978027649646,4.23824333562594,39.375
0.3,13,4.604278827613255,4.231409034945748,39.375
0.3,14,4.589954976315768,4.226117381945202,39.375
0.3,15,4.569759871824733,4.212440823866462,39.625
0.3,16,4.556896332075011,4.208458290959047,39.875
0.3,17,4.537006657528428,4.203347517785802,40.249999046325684
0.3,18,4.52270888607457,4.200098237806699,40.249999046325684
0.3,19,4.506671239744942,4.198404483522229,40.249999046325684
0.3,20,4.494243097305298,4.1859258499611105,40.875
0.3,21,4.482949796262777,4.180509214449411,40.875
0.3,22,4.470821314037971,4.182453256062787,41.25
0.3,23,4.457138690408671,4.175058136283348,41.75
0.3,24,4.445826165181286,4.1727247338503695,41.875
0.3,25,4.43565305448928,4.166453625216629,41.875
0.3,26,4.425173662293632,4.167029187334106,41.875
0.3,27,4.414603443865506,4.1609384417533875,41.875
0.3,28,4.405407028378181,4.1554672023664025,41.875
0.3,29,4.3975425621248645,4.156973448064592,41.875
0.3,30,4.38776581782215,4.148592068490758,42.624999046325684
0.3,31,4.379973312593856,4.144891716013051,42.624999046325684
0.3,32,4.367645005010209,4.144303931130303,42.749999046325684
0.3,33,4.360787899539156,4.145332122290576,42.749999046325684
0.3,34,4.35733680680113,4.140508602363895,43.12499809265137
0.3,35,4.345721576798637,4.140317594162141,43.12499809265137
0.3,36,4.340644205291317,4.137643047053405,43.12499809265137
0.3,37,4.335355435227449,4.133984502317126,43.12499809265137
0.3,38,4.3289753549503835,4.128911869895177,43.24999809265137
0.3,39,4.318503639383136,4.132962681428351,43.24999809265137
0.3,40,4.312605189377407,4.128001175344191,43.24999809265137
0.3,41,4.308596704590995,4.127493462177238,43.49999713897705
0.3,42,4.303423754224238,4.1267825931009625,43.49999713897705
0.3,43,4.2984602230899736,4.123612610980718,43.49999713897705
0.3,44,4.292435825095986,4.121524370077885,43.49999713897705
0.3,45,4.286193139598055,4.123762677213559,43.49999713897705
0.3,46,4.281347083145718,4.120381782351921,43.49999713897705
0.3,47,4.273703714586654,4.121016416485462,43.49999713897705
0.3,48,4.270163638186904,4.11877641192189,43.49999713897705
0.3,49,4.263268042060564,4.1174412628616945,43.49999713897705
0.3,50,4.262413115771312,4.115015284581618,43.49999713897705
