epoch,infonce_contribution,lambda_contribution
1,12.584287271434313,0.0
2,10.637476729693478,0.0
3,10.003347521285487,0.0
4,9.650681121055396,0.0
5,9.353786248050323,0.0
6,9.14109716252105,0.0
7,8.956612723494228,0.0
8,8.80350808280788,0.0
9,8.684370956682178,0.0
10,8.565651008690873,0.0
11,8.450651184010178,0.036839682163849266
12,8.374112872718133,0.036744165571585094
13,8.287739538329921,0.036532382262896186
14,8.202845688715374,0.03640040473986979
15,8.130454495018476,0.036261279272706545
16,8.061038571514496,0.036182108466347604
17,7.980259017258474,0.03596670395095054
18,7.931779009185425,0.03588207436955139
19,7.873966967569639,0.035741254287223294
20,7.81976288295772,0.035668818926158016
21,7.768143408102532,0.03549283584911529
22,7.713389326121709,0.03540762036018176
23,7.677303367608213,0.03529324118813423
24,7.629161483294344,0.03525078870049895
25,7.581648769770584,0.03521754670837154
26,7.544797008494808,0.03498265401549536
27,7.512751604922831,0.034916491267615805
28,7.481381834533117,0.0348343361546732
29,7.4398493673703445,0.03471568748150786
30,7.406093308043806,0.03468769119822816
31,7.371174074525703,0.03456313019541845
32,7.352498501620881,0.03450375653701286
33,7.317039243652397,0.03438684773975856
34,7.28069557016843,0.03434908932610734
35,7.262590627474327,0.034287765699706665
36,7.2317499724152965,0.0342175199520098
37,7.210744133060925,0.034143831486979574
38,7.1870025785001985,0.03412042318958126
39,7.171107841681128,0.034052040903535606
40,7.146123095081277,0.033932485055841816
41,7.126737724591608,0.033909563101726034
42,7.108337897307253,0.03382107233143833
43,7.086906110097284,0.03381061454954213
44,7.063455122464324,0.033784016205431665
45,7.0429544633382,0.03376210976341
46,7.028884691244936,0.03363912733858579
47,7.001374373207353,0.03363349239711892
48,6.99621164178195,0.033497143461279674
49,6.977415106067919,0.03352091301793922
50,6.956628653447922,0.0334723463797406
